Study,Species,Genus,Family,Order,Migration_distance,Location,Latitude,Longitude,Continent,Start_year,End_year,Predictor,Response_variable,Slope,SE,SE_calc,N,P_value,T_value,Temperature_location,Data_source,Arrival_location,,gendiet,maindiet,bodymass,bodysource,genhabitat,mainhabitat,hemisphere
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34,136.1,Asia,1953,2005,temperature,first arrival,0.09,1.508,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35.3,139.4,Asia,1953,2005,temperature,first arrival,-0.534,1.197,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.6,139.5,Asia,1953,2005,temperature,first arrival,1.66,2.121,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.4,139.2,Asia,1953,2005,temperature,first arrival,3.869,1.524,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.1,139.3,Asia,1953,2005,temperature,first arrival,-1.338,1.602,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.1,139.5,Asia,1953,2005,temperature,first arrival,-5.119,1.71,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,36.1,133.2,Asia,1953,2005,temperature,first arrival,-3.125,1.54,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35.3,133,Asia,1953,2005,temperature,first arrival,-0.163,0.143,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35.3,133.2,Asia,1953,2005,temperature,first arrival,-0.367,0.729,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35.3,134.1,Asia,1953,2005,temperature,first arrival,-0.855,0.716,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35.3,134.5,Asia,1953,2005,temperature,first arrival,-1.846,0.961,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35.3,135.2,Asia,1953,2005,temperature,first arrival,-0.459,0.732,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.5,132,Asia,1953,2005,temperature,first arrival,0.155,0.847,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35,135.4,Asia,1953,2005,temperature,first arrival,-0.028,1.157,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,35.2,136.1,Asia,1953,2005,temperature,first arrival,-0.194,0.959,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.6,130.6,Asia,1953,2005,temperature,first arrival,-1.269,0.867,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.2,132.3,Asia,1953,2005,temperature,first arrival,0.558,0.87,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.4,133.6,Asia,1953,2005,temperature,first arrival,1.278,1.261,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.4,135.1,Asia,1953,2005,temperature,first arrival,0.181,1.426,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.4,135.3,Asia,1953,2005,temperature,first arrival,-0.216,1.134,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.2,134.5,Asia,1953,2005,temperature,first arrival,0.888,0.725,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.1,135.1,Asia,1953,2005,temperature,first arrival,1.715,0.846,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.3,135.5,Asia,1953,2005,temperature,first arrival,0.706,0.973,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.4,135.5,Asia,1953,2005,temperature,first arrival,-0.902,1.103,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.1,129.2,Asia,1953,2005,temperature,first arrival,0.829,0.886,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.3,130.2,Asia,1953,2005,temperature,first arrival,-0.468,1.64,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.2,130.2,Asia,1953,2005,temperature,first arrival,3.083,1.31,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.1,131.4,Asia,1953,2005,temperature,first arrival,0.421,1.5,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,32.4,129.5,Asia,1953,2005,temperature,first arrival,-1.201,0.69,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,32.5,130.4,Asia,1953,2005,temperature,first arrival,-2.047,1.392,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,32.3,131.4,Asia,1953,2005,temperature,first arrival,0.633,1.991,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,31.3,130.3,Asia,1953,2005,temperature,first arrival,0.671,2.004,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,31.6,131.3,Asia,1953,2005,temperature,first arrival,0.922,2.454,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,30.2,130.4,Asia,1953,2005,temperature,first arrival,-3.76,1.634,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,30.4,130.6,Asia,1953,2005,temperature,first arrival,3.726,2.143,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,32.4,128.5,Asia,1953,2005,temperature,first arrival,1.873,1.44,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.5,132.5,Asia,1953,2005,temperature,first arrival,-0.904,0.9,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34.2,134,Asia,1953,2005,temperature,first arrival,-1.441,0.69,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.1,132.3,Asia,1953,2005,temperature,first arrival,1.318,0.921,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,33.3,133.3,Asia,1953,2005,temperature,first arrival,-2.232,1.825,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,34,134.3,Asia,1953,2005,temperature,first arrival,-0.336,1.41,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,24.3,123,Asia,1953,2005,temperature,first arrival,-0.958,1.559,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,24.3,123.5,Asia,1953,2005,temperature,first arrival,-0.946,2.863,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,24.2,124.1,Asia,1953,2005,temperature,first arrival,2.608,2.016,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,24.5,125.2,Asia,1953,2005,temperature,first arrival,1.937,1.134,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,26.2,126.5,Asia,1953,2005,temperature,first arrival,0.063,2.568,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,26.1,127.4,Asia,1953,2005,temperature,first arrival,2.664,3.013,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,26.4,127.6,Asia,1953,2005,temperature,first arrival,-4.992,7.874,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,Japan,25.5,131.1,Asia,1953,2005,temperature,first arrival,1.737,2.324,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,45.2,141.4,Asia,1953,2005,temperature,first arrival,9.773,5.791,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,44,144.2,Asia,1953,2005,temperature,first arrival,0.355,1.186,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,43,141.2,Asia,1953,2005,temperature,first arrival,1.697,5.356,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,43.1,141.5,Asia,1953,2005,temperature,first arrival,1.032,1.836,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,42.6,143.1,Asia,1953,2005,temperature,first arrival,-2.573,0.989,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,42.6,144.2,Asia,1953,2005,temperature,first arrival,-2.071,1.181,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,43.2,145.4,Asia,1953,2005,temperature,first arrival,-4.047,3.804,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,42.2,140.6,Asia,1953,2005,temperature,first arrival,1.944,3.137,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,42.1,142.5,Asia,1953,2005,temperature,first arrival,0.11,16.517,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,41.5,140.1,Asia,1953,2005,temperature,first arrival,-1.284,2.389,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,41.5,140.5,Asia,1953,2005,temperature,first arrival,0.591,0.524,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,42.5,140.5,Asia,1953,2005,temperature,first arrival,-0.54,1.226,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,44.2,143.2,Asia,1953,2005,temperature,first arrival,0.046,0.969,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,42.2,143.2,Asia,1953,2005,temperature,first arrival,-1.759,1.711,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,38.5,140.2,Asia,1953,2005,temperature,first arrival,-1.462,1.063,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,40.5,140.5,Asia,1953,2005,temperature,first arrival,-1.601,0.996,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,40.3,141.3,Asia,1953,2005,temperature,first arrival,-0.433,0.756,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,39.4,140.1,Asia,1953,2005,temperature,first arrival,7.707,2.23,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,39.4,141.1,Asia,1953,2005,temperature,first arrival,-1.112,0.934,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,39.4,141.6,Asia,1953,2005,temperature,first arrival,-2.018,0.799,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,38.5,139.5,Asia,1953,2005,temperature,first arrival,0.542,0.974,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,38.2,140.2,Asia,1953,2005,temperature,first arrival,0.093,1.012,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,38.2,140.5,Asia,1953,2005,temperature,first arrival,-1.581,1.112,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Gordo, O. & Doi, H. (2012) Drivers of population variability in phenological responses to climate change in Japanese birds. Climate Research, 54, 95–112.  ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,long,Japan,37.5,140.3,Asia,1953,2005,temperature,first arrival,-0.498,0.637,,,,,passage or breeding,standardized scientist observation in field or centre,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
